OID_,Name,Month,TweetCount,Shape_Length,Shape_Area,MONTH2
115,Kirovohrad,April,2677.000000000000000,14.477029333459882,3.007393203810482,4.000000000000000
116,Kirovohrad,March,4987.000000000000000,14.477029333459882,3.007393203810482,3.000000000000000
117,Kirovohrad,February,2028.000000000000000,14.477029333459882,3.007393203810482,2.000000000000000
118,L'viv,October,11.000000000000000,10.383739332395194,2.703371057913349,10.000000000000000
119,L'viv,September,15.000000000000000,10.383739332395194,2.703371057913349,9.000000000000000
120,L'viv,August,13.000000000000000,10.383739332395194,2.703371057913349,8.000000000000000
121,L'viv,July,11.000000000000000,10.383739332395194,2.703371057913349,7.000000000000000
122,L'viv,June,16.000000000000000,10.383739332395194,2.703371057913349,6.000000000000000
123,L'viv,May,24.000000000000000,10.383739332395194,2.703371057913349,5.000000000000000
124,L'viv,April,36.000000000000000,10.383739332395194,2.703371057913349,4.000000000000000
125,L'viv,March,168.000000000000000,10.383739332395194,2.703371057913349,3.000000000000000
126,L'viv,February,21.000000000000000,10.383739332395194,2.703371057913349,2.000000000000000
127,Luhans'k,October,2.000000000000000,12.983751686742750,3.325552395788893,10.000000000000000
128,Luhans'k,September,0.000000000000000,12.983751686742750,3.325552395788893,9.000000000000000
129,Luhans'k,August,1.000000000000000,12.983751686742750,3.325552395788893,8.000000000000000
130,Luhans'k,July,5.000000000000000,12.983751686742750,3.325552395788893,7.000000000000000
131,Luhans'k,June,6.000000000000000,12.983751686742750,3.325552395788893,6.000000000000000
132,Luhans'k,May,1.000000000000000,12.983751686742750,3.325552395788893,5.000000000000000
133,Luhans'k,April,4.000000000000000,12.983751686742750,3.325552395788893,4.000000000000000
134,Luhans'k,March,1.000000000000000,12.983751686742750,3.325552395788893,3.000000000000000
135,Luhans'k,February,2.000000000000000,12.983751686742750,3.325552395788893,2.000000000000000
136,Mykolayiv,October,1384.000000000000000,14.723297778571208,2.831152566785830,10.000000000000000
137,Mykolayiv,September,1154.000000000000000,14.723297778571208,2.831152566785830,9.000000000000000
138,Mykolayiv,August,1886.000000000000000,14.723297778571208,2.831152566785830,8.000000000000000
